Step_1;Step_2;Step_3;Step_4;Step_5;Exporter;Product;Allocated_Volume
PRODUCTION-BR-4109302;HUB-BR-4106902;PORT-BR-4118204;;;ENGELHART;SOYBEAN;176749.17037614726
PRODUCTION-BR-4128534;HUB-BR-4106902;PORT-BR-4118204;;;ENGELHART;SOYBEAN;115103.69221798789
PRODUCTION-BR-4128609;HUB-BR-4106902;PORT-BR-4118204;;;ENGELHART;SOYBEAN;95745.78215845478
PRODUCTION-BR-4113700;HUB-BR-4113700;PORT-BR-4216206;;;BELAGRICOLA;SOYBEAN;1000.0
PRODUCTION-BR-4100608;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;3606.6886425832763
PRODUCTION-BR-4100707;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;166270.70192469962
PRODUCTION-BR-4102000;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;343695.39677018113
PRODUCTION-BR-4102208;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;41369.53622804797
PRODUCTION-BR-4107256;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;15130.633875147665
PRODUCTION-BR-4107306;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;55244.82630366415
PRODUCTION-BR-4107801;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;71744.42229132519
PRODUCTION-BR-4107900;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;74755.30758534496
PRODUCTION-BR-4108908;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;69.2794591352915
PRODUCTION-BR-4109104;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;5855.499886114838
PRODUCTION-BR-4109906;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;1848.3759697295775
PRODUCTION-BR-4110300;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;3860.251463018443
PRODUCTION-BR-4110409;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;5690.614773372845
PRODUCTION-BR-4110607;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;103974.61227024549
PRODUCTION-BR-4111308;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;1075.217205779724
PRODUCTION-BR-4111555;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;10907.358046260295
PRODUCTION-BR-4113502;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;5777.906891883312
PRODUCTION-BR-4114104;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;69093.79018480892
PRODUCTION-BR-4115002;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;1330.1656153975969
PRODUCTION-BR-4115101;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;139750.52496771002
PRODUCTION-BR-4115200;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;93942.94658745528
PRODUCTION-BR-4116505;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;1165.2805026556032
PRODUCTION-BR-4116703;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;72124.56284036807
PRODUCTION-BR-4116802;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;12727.339829663273
PRODUCTION-BR-4117206;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;387.9649711576325
PRODUCTION-BR-4118105;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;16537.006895594084
PRODUCTION-BR-4118857;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;84569.43576645035
PRODUCTION-BR-4120200;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;623.5151322176237
PRODUCTION-BR-4120408;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;13196.351376090326
PRODUCTION-BR-4120655;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;124849.0675433819
PRODUCTION-BR-4121000;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;52763.23607743801
PRODUCTION-BR-4123956;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;16848.764461702893
PRODUCTION-BR-4124202;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;203.68160985775702
PRODUCTION-BR-4125308;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;164271.2967340551
PRODUCTION-BR-4125357;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;4156.76754811749
PRODUCTION-BR-4125555;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;4925.769544519227
PRODUCTION-BR-4125902;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;2704.6700846417802
PRODUCTION-BR-4126108;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;8391.128090466507
PRODUCTION-BR-4126702;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;3682.8960476320967
PRODUCTION-BR-4127205;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;44344.39620331739
